scoreNullable,teamId,hasTeamName,submissionDate,score,hasScore
0.88538,7149089,True,2021-09-25 07:31:35,0.88538,True
0.88299,7035812,True,2021-09-29 23:20:01,0.88299,True
0.88291,7187674,True,2021-09-29 23:21:41,0.88291,True
0.88272,7235788,True,2021-09-29 18:38:58,0.88272,True
0.88233,7311252,True,2021-09-29 10:52:40,0.88233,True
0.88230,7054636,True,2021-09-29 23:31:30,0.88230,True
0.88165,7316854,True,2021-09-29 16:47:44,0.88165,True
0.88150,7033507,True,2021-09-29 23:48:46,0.88150,True
0.88149,7154005,True,2021-09-29 17:47:34,0.88149,True
0.88148,7350133,True,2021-09-29 23:57:36,0.88148,True
0.88148,7089780,True,2021-09-29 19:02:11,0.88148,True
0.88146,7105701,True,2021-09-29 22:39:09,0.88146,True
0.88133,7052530,True,2021-09-29 22:48:26,0.88133,True
0.88121,7343184,True,2021-09-29 23:21:24,0.88121,True
0.88110,7234580,True,2021-09-29 23:55:41,0.88110,True
0.88098,7058206,True,2021-09-26 16:21:28,0.88098,True
0.88079,7250523,True,2021-09-29 23:28:50,0.88079,True
0.88067,7314979,True,2021-09-29 23:10:45,0.88067,True
0.88058,7037204,True,2021-09-29 18:21:23,0.88058,True
0.88056,7220179,True,2021-09-29 23:56:48,0.88056,True
0.88040,7299178,True,2021-09-29 14:10:42,0.88040,True
0.88019,7341787,True,2021-09-29 06:41:40,0.88019,True
0.88012,7034014,True,2021-09-29 22:13:16,0.88012,True
0.88008,7035885,True,2021-09-29 15:13:51,0.88008,True
0.88005,7167103,True,2021-09-29 23:20:43,0.88005,True
0.88000,7033480,True,2021-09-29 23:38:29,0.88000,True
0.87997,7034439,True,2021-09-29 14:12:57,0.87997,True
0.87978,7231824,True,2021-09-29 20:37:40,0.87978,True
0.87974,7270130,True,2021-09-29 19:53:58,0.87974,True
0.87972,7036175,True,2021-09-29 23:57:17,0.87972,True
0.87965,7268494,True,2021-09-29 23:54:29,0.87965,True
0.87963,7173482,True,2021-09-29 22:58:46,0.87963,True
0.87963,7076247,True,2021-09-29 22:16:52,0.87963,True
0.87961,7349169,True,2021-09-29 22:02:21,0.87961,True
0.87961,7231629,True,2021-09-29 13:34:31,0.87961,True
0.87960,7162759,True,2021-09-29 23:32:57,0.87960,True
0.87960,7262989,True,2021-09-29 22:49:26,0.87960,True
0.87959,7250434,True,2021-09-29 23:52:39,0.87959,True
0.87959,7260277,True,2021-09-29 22:26:32,0.87959,True
0.87956,7308742,True,2021-09-29 23:30:33,0.87956,True
0.87953,7120717,True,2021-09-28 14:02:31,0.87953,True
0.87951,7043756,True,2021-09-29 22:40:26,0.87951,True
0.87948,7035132,True,2021-09-29 23:39:29,0.87948,True
0.87947,7309544,True,2021-09-29 05:45:47,0.87947,True
0.87942,7159542,True,2021-09-29 18:36:04,0.87942,True
0.87941,7043314,True,2021-09-29 20:13:03,0.87941,True
0.87932,7132883,True,2021-09-29 20:11:12,0.87932,True
0.87924,7043131,True,2021-09-29 23:41:41,0.87924,True
0.87917,7346449,True,2021-09-29 16:15:55,0.87917,True
0.87912,7446448,True,2021-09-29 22:49:21,0.87912,True
0.87908,7044057,True,2021-09-29 18:11:31,0.87908,True
0.87897,7075625,True,2021-09-29 22:26:26,0.87897,True
0.87887,7117006,True,2021-09-29 23:21:57,0.87887,True
0.87884,7384928,True,2021-09-29 23:57:03,0.87884,True
0.87878,7035898,True,2021-09-29 23:23:43,0.87878,True
0.87877,7326821,True,2021-09-29 16:33:36,0.87877,True
0.87876,7328236,True,2021-09-29 16:50:40,0.87876,True
0.87876,7448297,True,2021-09-29 15:32:10,0.87876,True
0.87875,7440216,True,2021-09-28 11:37:26,0.87875,True
0.87875,7332865,True,2021-09-29 16:20:04,0.87875,True
0.87872,7195883,True,2021-09-29 05:55:22,0.87872,True
0.87867,7234590,True,2021-09-29 21:24:26,0.87867,True
0.87864,7406056,True,2021-09-26 16:06:57,0.87864,True
0.87864,7177280,True,2021-09-29 19:53:05,0.87864,True
0.87852,7446301,True,2021-09-28 15:05:00,0.87852,True
0.87851,7171790,True,2021-09-29 15:42:18,0.87851,True
0.87851,7036007,True,2021-09-27 05:06:57,0.87851,True
0.87844,7361785,True,2021-09-29 23:46:52,0.87844,True
0.87844,7265129,True,2021-09-29 13:29:39,0.87844,True
0.87843,7395172,True,2021-09-26 05:56:52,0.87843,True
0.87840,7401311,True,2021-09-24 13:35:06,0.87840,True
0.87836,7317096,True,2021-09-29 20:14:44,0.87836,True
0.87828,7070967,True,2021-09-29 10:09:27,0.87828,True
0.87819,7127882,True,2021-09-29 17:12:25,0.87819,True
