teamId,teamName,submissionDate,score
4494781,YeonJun IN_STU,2020-06-30 01:30:59,0.52043
4524051,Matthias,2020-06-30 15:46:22,0.52816
4817961,mf,2020-06-30 14:53:14,0.53571
4550223,monsaraida,2020-06-28 17:23:33,0.53583
4617795,Alan Lahoud,2020-06-14 16:52:24,0.53604
4716029,wyzJack_STU,2020-06-29 14:09:21,0.54433
4692217,RandomLearner,2020-06-29 23:42:14,0.54643
4483962,SHJ,2020-06-30 08:36:03,0.54688
4679763,gest #2,2020-06-30 23:38:02,0.54705
4645282,DenisKokosinskiy_STU,2020-06-22 09:22:05,0.54747
4730487,XueWang,2020-06-30 21:01:22,0.54890
5145932,yq_STU,2020-06-29 00:18:45,0.54979
4885828,PoHaoChou,2020-06-30 15:38:25,0.55040
4483315,Tsuru,2020-06-30 14:13:24,0.55156
4501528,bk_18,2020-06-30 21:41:19,0.55175
4519643,N60610,2020-06-28 18:02:37,0.55182
4486419,MonashSL_STU,2020-06-27 09:15:42,0.55241
4724998,leoclement,2020-06-19 13:14:24,0.55490
4559477,minghui_Tju,2020-06-30 23:26:27,0.55619
4764196,zfc613,2020-06-29 23:23:42,0.55690
4864993,Nodalpoints,2020-06-30 13:13:18,0.55724
4711093,CPUkiller,2020-06-30 22:18:31,0.55757
5129475,don't overfit!,2020-06-30 22:57:30,0.55757
4616303,Dan Hargreaves,2020-06-30 14:49:10,0.55778
4488425,M0T0_STU,2020-06-30 23:15:03,0.55895
4491707,Genryu,2020-06-30 23:26:51,0.55899
4487018,Moscow Five,2020-06-30 10:33:47,0.56047
4496569,Daniela A.,2020-06-30 22:53:57,0.56130
4598781,shuheioka,2020-06-30 22:12:59,0.56151
4511098,sk #2,2020-06-30 23:31:27,0.56322
4523224,nagao,2020-06-30 13:14:09,0.56364
4880140,AjayNagar,2020-06-23 13:30:00,0.56438
4484154,cjwh,2020-06-29 19:42:17,0.56649
4934275,CWD75,2020-06-30 07:09:26,0.56660
4773153,Groot,2020-06-30 20:51:33,0.56746
4485988,Astral,2020-06-28 20:10:25,0.56785
4767427,Logistic,2020-06-30 21:19:26,0.56800
4833833,jdsc_perceiving_team,2020-06-30 19:48:11,0.56830
4710668,Abzal,2020-06-30 23:48:14,0.56983
4646152,Pianus,2020-06-29 19:36:43,0.56988
4484099,NAU,2020-06-30 10:42:49,0.57013
4568148,shirokane_friends,2020-06-30 09:01:16,0.57017
4767304,Alexnet,2020-06-30 21:32:41,0.57092
4560391,Griffin_Series,2020-06-29 16:46:10,0.57352
4552489,Hiromitsu Kigure,2020-06-18 05:10:00,0.57378
4544024,YK,2020-06-30 09:55:13,0.57457
4640804,P.A.S.S.T.A.,2020-06-30 19:03:47,0.57461
4486899,golubyatniks,2020-06-30 15:22:24,0.57591
5141790,belkasanek,2020-06-30 23:35:29,0.57594
4705361,Random_prediction,2020-06-30 20:59:11,0.57599
4618148,outliers,2020-06-23 10:56:54,0.57606
4486225,IHiroaki,2020-06-25 15:59:27,0.57644
4586647,hk416,2020-06-30 23:42:18,0.57727
4554551,Izmaylov Konstantin,2020-06-29 20:13:02,0.57734
5137696,Annie Tran,2020-06-30 22:20:53,0.57835
4483701,m5vtmecrew,2020-06-30 22:21:19,0.57844
4485749,wychwood,2020-06-30 23:28:19,0.57902
4715224,DatoJefe,2020-06-30 20:48:15,0.57967
4533739,takaakiinada,2020-06-30 00:16:07,0.57987
4489863,Joker,2020-06-28 23:43:29,0.58067
4556663,Muku,2020-06-30 23:17:44,0.58128
5017408,老中医,2020-06-30 13:25:07,0.58176
4489590,HOP,2020-06-29 06:38:49,0.58215
4588135,KnackX,2020-06-28 14:40:30,0.58235
